Frequency,HFSS,,,Frequency,Measurement
10.02,-0.515723498,,,1.13E+10,-4.3995
10.04,-0.514138465,,,1.13E+10,-4.49596
10.06,-0.512844578,,,1.13E+10,-4.46785
10.08,-0.511835135,,,1.14E+10,-4.66529
10.1,-0.511104008,,,1.14E+10,-4.57888
10.12,-0.510645616,,,1.14E+10,-4.74894
10.14,-0.510454904,,,1.14E+10,-4.73282
10.16,-0.51052732,,,1.15E+10,-4.83501
10.18,-0.510858787,,,1.15E+10,-4.83287
10.2,-0.511445682,,,1.15E+10,-4.92726
10.22,-0.512284811,,,1.15E+10,-4.93491
10.24,-0.51337338,,,1.16E+10,-5.01358
10.26,-0.514708973,,,1.16E+10,-5.09016
10.28,-0.516289524,,,1.16E+10,-5.09449
10.3,-0.518113291,,,1.16E+10,-5.22379
10.32,-0.520178832,,,1.17E+10,-5.13336
10.34,-0.522484976,,,1.17E+10,-5.3736
10.36,-0.525030798,,,1.17E+10,-5.18758
10.38,-0.527815594,,,1.17E+10,-5.47551
10.4,-0.530838853,,,1.18E+10,-5.31198
10.42,-0.534100235,,,1.18E+10,-5.46423
10.44,-0.537599541,,,1.18E+10,-5.64926
10.46,-0.541336692,,,1.18E+10,-5.4642
10.48,-0.545311703,,,1.19E+10,-5.80919
10.5,-0.549524658,,,1.19E+10,-5.48297
10.52,-0.553975687,,,1.19E+10,-5.72394
10.54,-0.558664944,,,1.19E+10,-5.62787
10.56,-0.563592583,,,1.20E+10,-5.72522
10.58,-0.568758736,,,1.20E+10,-5.69996
10.6,-0.574163494,,,1.20E+10,-5.81365
10.62,-0.579806883,,,1.20E+10,-5.71842
10.64,-0.585688849,,,1.21E+10,-5.82437
10.66,-0.591809234,,,1.21E+10,-5.9425
10.68,-0.598167761,,,1.21E+10,-5.75182
10.7,-0.604764019,,,1.21E+10,-6.14566
10.72,-0.61159744,,,1.22E+10,-5.70661
10.74,-0.618667293,,,1.22E+10,-6.12716
10.76,-0.62597266,,,1.22E+10,-5.88726
10.78,-0.633512432,,,1.22E+10,-6.06363
10.8,-0.641285291,,,1.23E+10,-6.04152
10.82,-0.6492897,,,1.23E+10,-5.98546
10.84,-0.657523895,,,1.23E+10,-6.03008
10.86,-0.665985875,,,1.23E+10,-5.89539
10.88,-0.674673395,,,1.24E+10,-6.11151
10.9,-0.683583958,,,1.24E+10,-5.76224
10.92,-0.692714811,,,1.24E+10,-6.18188
10.94,-0.702062943,,,1.24E+10,-5.64561
10.96,-0.711625076,,,1.25E+10,-6.01245
10.98,-0.721397671,,,1.25E+10,-5.80453
11,-0.73137692,,,1.25E+10,-5.73706
11.02,-0.741558754,,,1.25E+10,-5.95818
11.04,-0.751938839,,,1.26E+10,-5.5167
11.06,-0.762512582,,,1.26E+10,-5.83574
11.08,-0.773275133,,,1.26E+10,-5.479
11.1,-0.784221394,,,1.26E+10,-5.66811
11.12,-0.795346021,,,1.27E+10,-5.39288
11.14,-0.806643437,,,1.27E+10,-5.66289
11.16,-0.818107836,,,1.27E+10,-5.2702
11.18,-0.829733193,,,1.27E+10,-5.61315
11.2,-0.841513281,,,1.28E+10,-5.34095
11.22,-0.853441674,,,1.28E+10,-5.53068
11.24,-0.865511769,,,1.28E+10,-5.70428
11.26,-0.877716794,,,1.28E+10,-5.52227
11.28,-0.890049825,,,1.29E+10,-6.13873
11.3,-0.902503803,,,1.29E+10,-5.81815
11.32,-0.915071552,,,1.29E+10,-6.76627
11.34,-0.927745795,,,1.29E+10,-6.82187
11.36,-0.940519175,,,1.30E+10,-8.09795
11.38,-0.953384274,,,1.30E+10,-8.99983
11.4,-0.966333636,,,1.30E+10,-10.27874
11.42,-0.979359788,,,1.30E+10,-11.53987
11.44,-0.992455266,,,1.31E+10,-11.35675
11.46,-1.005612636,,,1.31E+10,-10.97579
11.48,-1.018824521,,,1.31E+10,-9.36212
11.5,-1.032083629,,,1.31E+10,-8.36106
11.52,-1.045382782,,,1.32E+10,-7.23141
11.54,-1.058714941,,,1.32E+10,-6.76593
11.56,-1.072073242,,,1.32E+10,-5.94905
11.58,-1.085451026,,,1.32E+10,-6.07051
11.6,-1.098841872,,,1.33E+10,-5.29866
11.62,-1.112239634,,,1.33E+10,-5.67552
11.64,-1.125638479,,,1.33E+10,-5.24503
11.66,-1.139032926,,,1.33E+10,-5.38596
11.68,-1.15241789,,,1.34E+10,-5.53443
11.7,-1.165788721,,,1.34E+10,-5.3284
11.72,-1.179141258,,,1.34E+10,-5.82943
11.74,-1.192471878,,,1.34E+10,-5.49695
11.76,-1.205777548,,,1.35E+10,-6.03522
11.78,-1.219055885,,,1.35E+10,-5.83901
11.8,-1.232305217,,,1.35E+10,-6.29892
11.82,-1.245524655,,,1.35E+10,-6.19676
11.84,-1.258714163,,,1.36E+10,-6.62806
11.86,-1.271874636,,,1.36E+10,-6.55693
11.88,-1.285007994,,,1.36E+10,-6.98048
11.9,-1.298117272,,,1.36E+10,-7.11895
11.92,-1.311206726,,,1.37E+10,-7.20083
11.94,-1.324281952,,,1.37E+10,-7.6703
11.96,-1.337350011,,,1.37E+10,-7.45026
11.98,-1.350419573,,,1.37E+10,-8.09213
12,-1.363501072,,,1.38E+10,-7.84829
12.02,-1.37660689,,,1.38E+10,-8.33824
12.04,-1.389751547,,,1.38E+10,-8.27035
12.06,-1.402951931,,,1.38E+10,-8.64989
12.08,-1.416227542,,,1.39E+10,-8.62622
12.1,-1.429600781,,,1.39E+10,-8.9672
12.12,-1.443097269,,,1.39E+10,-9.04275
12.14,-1.456746214,,,1.39E+10,-9.17281
12.16,-1.470580827,,,1.40E+10,-9.53969
12.18,-1.484638798,,,1.40E+10,-9.30463
12.2,-1.498962846,,,1.40E+10,-9.93173
12.22,-1.513601347,,,1.40E+10,-9.54635
12.24,-1.528609057,,,1.41E+10,-10.08776
12.26,-1.544047959,,,1.41E+10,-9.95392
12.28,-1.559988235,,,1.41E+10,-10.15723
12.3,-1.576509403,,,1.41E+10,-10.38292
12.32,-1.593701647,,,1.42E+10,-10.29084
12.34,-1.611667371,,,1.42E+10,-10.67241
12.36,-1.630523029,,,1.42E+10,-10.51056
12.38,-1.650401289,,,1.42E+10,-10.84447
12.4,-1.671453583,,,1.43E+10,-10.70834
12.42,-1.693853147,,,1.43E+10,-11.02378
12.44,-1.717798644,,,1.43E+10,-10.87331
12.46,-1.743518492,,,1.43E+10,-11.19326
12.48,-1.77127607,,,1.44E+10,-11.05782
12.5,-1.801375995,,,1.44E+10,-11.25925
12.52,-1.834171712,,,1.44E+10,-11.32268
12.54,-1.870074727,,,1.44E+10,-11.17469
12.56,-1.909565864,,,1.45E+10,-11.58942
12.58,-1.953209057,,,1.45E+10,-11.26353
12.6,-2.001668317,,,1.45E+10,-11.78122
12.62,-2.055728683,,,1.45E+10,-11.57625
12.64,-2.116322199,,,1.46E+10,-11.7378
12.66,-2.184560256,,,1.46E+10,-11.79714
12.68,-2.261774,,,1.46E+10,-11.70984
12.7,-2.349565012,,,1.46E+10,-11.93365
12.72,-2.449869065,,,1.47E+10,-11.84585
12.74,-2.565036583,,,1.47E+10,-12.01851
12.76,-2.697934396,,,1.47E+10,-11.92642
12.78,-2.852074657,,,1.47E+10,-12.1481
12.8,-3.031778318,,,1.48E+10,-11.98959
12.82,-3.242382351,,,1.48E+10,-12.30963
12.84,-3.490502067,,,1.48E+10,-12.18481
12.86,-3.784362151,,,1.48E+10,-12.25364
12.88,-4.134212338,,,1.49E+10,-12.38063
12.9,-4.552845262,,,1.49E+10,-12.25189
12.92,-5.056233112,,,1.49E+10,-12.60469
12.94,-5.664290259,,,1.49E+10,-12.38583
12.96,-6.401730025,,,1.50E+10,-12.60878
12.98,-7.298842145,,,1.50E+10,-12.52587
13,-8.391512964,,,1.50E+10,-12.50713
13.02,-9.71800839,,,1.50E+10,-12.27402
13.04,-11.30361668,,,1.50E+10,-12.36368
13.06,-13.10304234,,,1.51E+10,-12.43314
13.08,-14.82774585,,,1.51E+10,-12.42904
13.1,-15.72348755,,,1.51E+10,-12.41122
13.12,-15.15871903,,,1.51E+10,-12.52195
13.14,-13.64891351,,,1.52E+10,-12.36081
13.16,-11.98719491,,,1.52E+10,-12.60347
13.18,-10.50563542,,,1.52E+10,-12.44964
13.2,-9.263885106,,,1.52E+10,-12.62693
13.22,-8.240020618,,,1.53E+10,-12.57076
13.24,-7.39694078,,,1.53E+10,-12.55654
13.26,-6.70003432,,,1.53E+10,-12.63786
13.28,-6.120696975,,,1.53E+10,-12.55737
13.3,-5.636133983,,,1.54E+10,-12.65488
13.32,-5.228365658,,,1.54E+10,-12.57463
13.34,-4.883218664,,,1.54E+10,-12.62479
13.36,-4.589483057,,,1.54E+10,-12.55815
13.38,-4.338248507,,,1.55E+10,-12.58142
13.4,-4.122392278,,,1.55E+10,-12.49502
13.42,-3.936186674,,,1.55E+10,-12.52271
13.44,-3.77499807,,,1.55E+10,-12.46324
13.46,-3.635055509,,,1.56E+10,-12.4304
13.48,-3.513272038,,,1.56E+10,-12.40541
13.5,-3.4071061,,,1.56E+10,-12.30498
13.52,-3.314453448,,,1.56E+10,-12.30955
13.54,-3.233562399,,,1.57E+10,-12.21794
13.56,-3.162967038,,,1.57E+10,-12.20144
13.58,-3.101434281,,,1.57E+10,-12.09823
13.6,-3.047921703,,,1.57E+10,-12.02342
13.62,-3.001543751,,,1.58E+10,-11.94937
13.64,-2.961544551,,,1.58E+10,-11.85642
13.66,-2.9272759,,,1.58E+10,-11.78128
13.68,-2.89817937,,,1.58E+10,-11.68035
13.7,-2.873771691,,,1.59E+10,-11.57366
13.72,-2.853632746,,,1.59E+10,-11.47855
13.74,-2.837395682,,,1.59E+10,-11.34509
13.76,-2.824738715,,,1.59E+10,-11.24211
13.78,-2.815378319,,,1.60E+10,-11.07614
13.8,-2.809063547,,,1.60E+10,-10.93068
13.82,-2.805571265,,,1.60E+10,-10.7589
13.84,-2.804702151,,,1.60E+10,-10.56223
13.86,-2.806277318,,,1.61E+10,-10.43101
13.88,-2.81013546,,,1.61E+10,-10.20445
13.9,-2.816130425,,,1.61E+10,-10.07624
13.92,-2.824129159,,,1.61E+10,-9.8517
13.94,-2.834009939,,,1.62E+10,-9.67855
13.96,-2.845660879,,,1.62E+10,-9.45512
13.98,-2.858978636,,,1.62E+10,-9.28093
14,-2.873867309,,,1.62E+10,-9.00988
14.02,-2.89023749,,,1.63E+10,-8.8439
14.04,-2.908005447,,,1.63E+10,-8.55564
14.06,-2.927092419,,,1.63E+10,-8.33558
14.08,-2.947424016,,,1.63E+10,-8.17832
14.1,-2.96892969,,,1.64E+10,-7.82737
14.12,-2.991542287,,,1.64E+10,-7.71859
14.14,-3.01519766,,,1.64E+10,-7.29414
14.16,-3.039834329,,,1.64E+10,-7.12348
14.18,-3.0653932,,,1.65E+10,-6.83684
14.2,-3.091817305,,,1.65E+10,-6.58056
14.22,-3.119051598,,,1.65E+10,-6.36962
14.24,-3.147042766,,,1.65E+10,-6.11009
14.26,-3.175739072,,,1.66E+10,-5.85458
14.28,-3.205090217,,,1.66E+10,-5.68105
14.3,-3.235047229,,,1.66E+10,-5.44354
14.32,-3.265562361,,,1.66E+10,-5.30821
14.34,-3.296589009,,,1.67E+10,-5.17884
14.36,-3.328081637,,,1.67E+10,-4.97863
14.38,-3.359995722,,,1.67E+10,-4.9926
14.4,-3.392287696,,,1.67E+10,-4.77747
14.42,-3.424914909,,,1.68E+10,-4.8571
14.44,-3.457835591,,,1.68E+10,-4.73286
14.46,-3.491008821,,,1.68E+10,-4.82832
14.48,-3.5243945,,,1.68E+10,-4.86292
14.5,-3.557953335,,,1.69E+10,-4.93511
14.52,-3.591646816,,,1.69E+10,-5.0621
14.54,-3.625437204,,,1.69E+10,-5.1506
14.56,-3.659287516,,,1.69E+10,-5.2933
14.58,-3.693161518,,,1.70E+10,-5.46145
14.6,-3.727023713,,,1.70E+10,-5.63049
14.62,-3.760839335,,,1.70E+10,-5.84938
14.64,-3.794574341,,,1.70E+10,-6.05999
14.66,-3.828195405,,,1.71E+10,-6.23197
14.68,-3.861669911,,,1.71E+10,-6.48289
14.7,-3.894965948,,,1.71E+10,-6.59421
14.72,-3.928052309,,,1.71E+10,-6.91434
14.74,-3.960898477,,,1.72E+10,-7.01267
14.76,-3.993474628,,,1.72E+10,-7.33288
14.78,-4.025751618,,,1.72E+10,-7.43524
14.8,-4.057700986,,,1.72E+10,-7.66901
14.82,-4.089294939,,,1.73E+10,-7.83503
14.84,-4.120506353,,,1.73E+10,-7.98358
14.86,-4.151308762,,,1.73E+10,-8.15904
14.88,-4.181676355,,,1.73E+10,-8.25527
14.9,-4.211583965,,,1.74E+10,-8.45086
14.92,-4.241007067,,,1.74E+10,-8.56869
14.94,-4.269921766,,,1.74E+10,-8.81201
14.96,-4.298304793,,,1.74E+10,-8.758
14.98,-4.326133497,,,1.75E+10,-9.03184
15,-4.353385834,,,1.75E+10,-8.93852
15,-4.3648818,,,1.75E+10,-9.18484
15.02,-4.394385208,,,1.75E+10,-9.27005
15.04,-4.423327464,,,1.76E+10,-9.27212
15.06,-4.451672374,,,1.76E+10,-9.51236
15.08,-4.479385705,,,1.76E+10,-9.41302
15.1,-4.506435096,,,1.76E+10,-9.55145
15.12,-4.532789963,,,1.77E+10,-9.58201
15.14,-4.558421409,,,1.77E+10,-9.57504
15.16,-4.583302144,,,1.77E+10,-9.54995
15.18,-4.607406393,,,1.77E+10,-9.65597
15.2,-4.630709824,,,1.78E+10,-9.43473
15.22,-4.653189463,,,1.78E+10,-9.69185
15.24,-4.674823627,,,1.78E+10,-9.56754
15.26,-4.695591846,,,1.78E+10,-9.57437
15.28,-4.715474801,,,1.79E+10,-9.70826
15.3,-4.734454257,,,1.79E+10,-9.36413
15.32,-4.752513003,,,1.79E+10,-9.6463
15.34,-4.769634793,,,1.79E+10,-9.43287
15.36,-4.78580429,,,1.80E+10,-9.55119
15.38,-4.801007018,,,1.80E+10,-9.64733
15.4,-4.81522931,,,1.80E+10,-9.80695
15.42,-4.828458264,,,1.80E+10,-10.31709
15.44,-4.840681699,,,1.81E+10,-11.11691
15.46,-4.851888117,,,1.81E+10,-12.4868
15.48,-4.862066666,,,1.81E+10,-14.22386
15.5,-4.871207101,,,1.81E+10,-16.08216
15.52,-4.879299762,,,1.82E+10,-17.05872
15.54,-4.886335536,,,1.82E+10,-17.46164
15.56,-4.892305836,,,1.82E+10,-16.87967
15.58,-4.897202577,,,1.82E+10,-16.31344
15.6,-4.901018153,,,1.83E+10,-15.70644
15.62,-4.90374542,,,1.83E+10,-15.12819
15.64,-4.90537768,,,1.83E+10,-14.95072
15.66,-4.905908669,,,1.83E+10,-14.44154
15.68,-4.90533254,,,1.84E+10,-14.45378
15.7,-4.903643863,,,1.84E+10,-14.10536
15.72,-4.900837612,,,1.84E+10,-14.13961
15.74,-4.896909163,,,1.84E+10,-14.02172
15.76,-4.891854294,,,1.85E+10,-13.9845
15.78,-4.885669185,,,1.85E+10,-14.00957
15.8,-4.878350421,,,1.85E+10,-13.93421
15.82,-4.869894998,,,1.85E+10,-14.01944
15.84,-4.860300332,,,1.86E+10,-13.86743
15.86,-4.849564272,,,1.86E+10,-13.98603
15.88,-4.837685108,,,1.86E+10,-13.76903
15.9,-4.824661592,,,1.86E+10,-13.95906
15.92,-4.810492958,,,1.87E+10,-13.8246
15.94,-4.795178937,,,1.87E+10,-13.85486
15.96,-4.778719791,,,1.87E+10,-13.89617
15.98,-4.76111633,,,1.87E+10,-13.73216
16,-4.742369952,,,1.88E+10,-13.9255
16.02,-4.722482671,,,1.88E+10,-13.77134
16.04,-4.701457154,,,1.88E+10,-13.90016
16.06,-4.679296766,,,1.88E+10,-13.92426
16.08,-4.656005604,,,1.89E+10,-14.03166
16.1,-4.631588555,,,1.89E+10,-14.03253
16.12,-4.606051336,,,1.89E+10,-14.27859
16.14,-4.579400556,,,1.89E+10,-14.18448
16.16,-4.551643769,,,1.90E+10,-14.32187
16.18,-4.522789539,,,1.90E+10,-14.50007
16.2,-4.4928475,,,1.90E+10,-14.32185
16.22,-4.461828433,,,1.90E+10,-14.76889
16.24,-4.429744335,,,1.91E+10,-14.44827
16.26,-4.396608496,,,1.91E+10,-14.63725
16.28,-4.362435584,,,1.91E+10,-14.7251
16.3,-4.327241729,,,1.91E+10,-14.58106
16.32,-4.291044612,,,1.92E+10,-14.81208
16.34,-4.253863562,,,1.92E+10,-14.66208
16.36,-4.215719653,,,1.92E+10,-14.71903
16.38,-4.176635804,,,1.92E+10,-14.79371
16.4,-4.136636888,,,1.93E+10,-14.82558
16.42,-4.095749838,,,1.93E+10,-14.84125
16.44,-4.054003759,,,1.93E+10,-15.00909
16.46,-4.011430046,,,1.93E+10,-14.88979
16.48,-3.968062498,,,1.94E+10,-15.04982
16.5,-3.923937436,,,1.94E+10,-15.09728
16.52,-3.879093824,,,1.94E+10,-15.08592
16.54,-3.833573388,,,1.94E+10,-15.30497
16.56,-3.787420736,,,1.95E+10,-15.14261
16.58,-3.740683471,,,1.95E+10,-15.34889
16.6,-3.693412307,,,1.95E+10,-15.23785
16.62,-3.64566118,,,1.95E+10,-15.38257
16.64,-3.597487345,,,1.96E+10,-15.39835
16.66,-3.548951475,,,1.96E+10,-15.36565
16.68,-3.500117746,,,1.96E+10,-15.49635
16.7,-3.451053907,,,1.96E+10,-15.33745
16.72,-3.401831339,,,1.97E+10,-15.47051
16.74,-3.3525251,,,1.97E+10,-15.2803
16.76,-3.303213939,,,1.97E+10,-15.31553
16.78,-3.2539803,,,1.97E+10,-15.24932
16.8,-3.204910293,,,1.98E+10,-15.21995
16.82,-3.156093639,,,1.98E+10,-15.17631
16.84,-3.107623579,,,1.98E+10,-15.14027
16.86,-3.059596752,,,1.98E+10,-15.09481
16.88,-3.012113028,,,1.99E+10,-14.97971
16.9,-2.965275307,,,1.99E+10,-14.99847
16.92,-2.919189265,,,1.99E+10,-14.75947
16.94,-2.873963052,,,1.99E+10,-14.85928
16.96,-2.829706949,,,2.00E+10,-14.64847
16.98,-2.786532956,,,2.00E+10,-14.57653
17,-2.744554342,,,2.00E+10,-14.07432
17.02,-2.703885126,,,,
17.04,-2.664639513,,,,
17.06,-2.626931269,,,,
17.08,-2.59087305,,,,
17.1,-2.556575669,,,,
17.12,-2.524147335,,,,
17.14,-2.493692837,,,,
17.16,-2.465312701,,,,
17.18,-2.439102319,,,,
17.2,-2.415151062,,,,
17.22,-2.393541385,,,,
17.24,-2.37434793,,,,
17.26,-2.357636654,,,,
17.28,-2.343463968,,,,
17.3,-2.331875921,,,,
17.32,-2.322907435,,,,
17.34,-2.316581588,,,,
17.36,-2.312908974,,,,
17.38,-2.311887132,,,,
17.4,-2.313500072,,,,
17.42,-2.317717872,,,,
17.44,-2.324496383,,,,
17.46,-2.333777021,,,,
17.48,-2.345486658,,,,
17.5,-2.359537602,,,,
17.52,-2.37582767,,,,
17.54,-2.394240346,,,,
17.56,-2.414645019,,,,
17.58,-2.436897306,,,,
17.6,-2.460839436,,,,
17.62,-2.486300728,,,,
17.64,-2.51309813,,,,
17.66,-2.541036866,,,,
17.68,-2.569911189,,,,
17.7,-2.599505283,,,,
17.72,-2.629594375,,,,
17.74,-2.659946134,,,,
17.76,-2.690322478,,,,
17.78,-2.720481975,,,,
17.8,-2.750183086,,,,
17.82,-2.779188614,,,,
17.84,-2.807271886,,,,
17.86,-2.834225417,,,,
17.88,-2.859873126,,,,
17.9,-2.884087667,,,,
17.92,-2.906815123,,,,
17.94,-2.928110337,,,,
17.96,-2.948187653,,,,
17.98,-2.967494066,,,,
18,-2.986814947,,,,
18.02,-3.007427178,,,,
18.04,-3.031320949,,,,
18.06,-3.061520114,,,,
18.08,-3.102541329,,,,
18.1,-3.161041938,,,,
18.12,-3.246708493,,,,
18.14,-3.373414858,,,,
18.16,-3.560597777,,,,
18.18,-3.834608448,,,,
18.2,-4.229464952,,,,
18.22,-4.786033123,,,,
18.24,-5.548562767,,,,
18.26,-6.558288939,,,,
18.28,-7.845480117,,,,
18.3,-9.421993645,,,,
18.32,-11.27257321,,,,
18.34,-13.33230112,,,,
18.36,-15.42358866,,,,
18.38,-17.156062,,,,
18.4,-18.01194291,,,,
18.42,-17.86450886,,,,
18.44,-17.13227006,,,,
18.46,-16.24664556,,,,
18.48,-15.41188853,,,,
18.5,-14.68781564,,,,
18.52,-14.07785143,,,,
18.54,-13.56850684,,,,
18.56,-13.14341054,,,,
18.58,-12.78764278,,,,
18.6,-12.4887233,,,,
18.62,-12.23652991,,,,
18.64,-12.02293355,,,,
18.66,-11.84140955,,,,
18.68,-11.68670104,,,,
18.7,-11.55454764,,,,
18.72,-11.44147303,,,,
18.74,-11.34462051,,,,
18.76,-11.2616258,,,,
18.78,-11.19051868,,,,
18.8,-11.12964635,,,,
18.82,-11.07761354,,,,
18.84,-11.0332353,,,,
18.86,-10.9954996,,,,
18.88,-10.96353743,,,,
18.9,-10.93659886,,,,
18.92,-10.91403358,,,,
18.94,-10.89527515,,,,
18.96,-10.87982808,,,,
18.98,-10.86725715,,,,
19,-10.85717866,,,,
19.02,-10.84925306,,,,
19.04,-10.84317885,,,,
19.06,-10.83868739,,,,
19.08,-10.8355386,,,,
19.1,-10.83351725,,,,
19.12,-10.83242982,,,,
19.14,-10.83210183,,,,
19.16,-10.83237552,,,,
19.18,-10.83310787,,,,
19.2,-10.83416891,,,,
19.22,-10.83544021,,,,
19.24,-10.83681358,,,,
19.26,-10.83818998,,,,
19.28,-10.83947847,,,,
19.3,-10.84059542,,,,
19.32,-10.84146367,,,,
19.34,-10.8420119,,,,
19.36,-10.84217403,,,,
19.38,-10.84188868,,,,
19.4,-10.8410987,,,,
19.42,-10.83975075,,,,
19.44,-10.83779492,,,,
19.46,-10.83518441,,,,
19.48,-10.83187521,,,,
19.5,-10.82782584,,,,
19.52,-10.82299708,,,,
19.54,-10.81735179,,,,
19.56,-10.81085468,,,,
19.58,-10.80347213,,,,
19.6,-10.79517202,,,,
19.62,-10.78592361,,,,
19.64,-10.77569736,,,,
19.66,-10.76446483,,,,
19.68,-10.75219855,,,,
19.7,-10.73887195,,,,
19.72,-10.72445918,,,,
19.74,-10.70893514,,,,
19.76,-10.69227526,,,,
19.78,-10.67445556,,,,
19.8,-10.65545247,,,,
19.82,-10.63524281,,,,
19.84,-10.61380374,,,,
19.86,-10.59111267,,,,
19.88,-10.56714724,,,,
19.9,-10.54188524,,,,
19.92,-10.51530458,,,,
19.94,-10.48738325,,,,
19.96,-10.45809926,,,,
19.98,-10.42743063,,,,
20,-10.39535532,,,,
